task 0 has started...
task 1 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
 253  26918073.44088998  26918073.44089078  0.00000080
 254  26918073.44090017  26918073.44090098  0.00000081
 255  26918073.44091034  26918073.44091109  0.00000075
 256  26918073.44092024  26918073.44092117  0.00000092
 257  26918073.44093042  26918073.44093134  0.00000092
 258  26918073.44094054  26918073.44094148  0.00000094
 259  26918073.44095037  26918073.44095112  0.00000075
 260  26918073.44095997  26918073.44096087  0.00000091
 261  26918073.44097283  26918073.44097375  0.00000093
 262  26918073.44098389  26918073.44098463  0.00000074
 263  26918073.44099417  26918073.44099509  0.00000092
 264  26918073.44100796  26918073.44100885  0.00000089
 265  26918073.44101856  26918073.44101945  0.00000089
 266  26918073.44102880  26918073.44102966  0.00000086
 267  26918073.44103882  26918073.44103963  0.00000081
 268  26918073.44104849  26918073.44104936  0.00000088
 269  26918073.44105829  26918073.44105927  0.00000098
 270  26918073.44107071  26918073.44107191  0.00000120
 271  26918073.44108157  26918073.44108256  0.00000099
 272  26918073.44109139  26918073.44109230  0.00000091
 273  26918073.44110345  26918073.44110445  0.00000099
 274  26918073.44111433  26918073.44111530  0.00000098
 275  26918073.44112490  26918073.44112581  0.00000091
 276  26918073.44113564  26918073.44113655  0.00000091
 277  26918073.44114604  26918073.44114695  0.00000091
 278  26918073.44115589  26918073.44115677  0.00000089
 279  26918073.44116570  26918073.44116660  0.00000090
 280  26918073.44117533  26918073.44117630  0.00000096
 281  26918073.44118773  26918073.44118867  0.00000094
 282  26918073.44119860  26918073.44119952  0.00000092
 283  26918073.44120942  26918073.44121025  0.00000083
 284  26918073.44121970  26918073.44122062  0.00000092
 285  26918073.44122953  26918073.44123047  0.00000094
 286  26918073.44123943  26918073.44124024  0.00000082
 287  26918073.44124922  26918073.44125011  0.00000089
 288  26918073.44126190  26918073.44126283  0.00000094
 289  26918073.44127255  26918073.44127345  0.00000091
 290  26918073.44128277  26918073.44128363  0.00000086
 291  26918073.44129276  26918073.44129357  0.00000082
 292  26918073.44130510  26918073.44130614  0.00000104
 293  26918073.44131599  26918073.44131679  0.00000080
 294  26918073.44132559  26918073.44132658  0.00000099
 295  26918073.44133794  26918073.44133883  0.00000089
 296  26918073.44134854  26918073.44134954  0.00000099
 297  26918073.44135927  26918073.44136019  0.00000092
 298  26918073.44136898  26918073.44136986  0.00000088
 299  26918073.44138082  26918073.44138176  0.00000093
 300  26918073.44139265  26918073.44139354  0.00000089
 301  26918073.44140455  26918073.44140557  0.00000102
 302  26918073.44141534  26918073.44141625  0.00000091
 303  26918073.44142605  26918073.44142698  0.00000094
 304  26918073.44143637  26918073.44143724  0.00000088
 305  26918073.44144633  26918073.44144725  0.00000092
 306  26918073.44145617  26918073.44145698  0.00000081
 307  26918073.44146847  26918073.44146945  0.00000098
 308  26918073.44147961  26918073.44148042  0.00000081
 309  26918073.44148986  26918073.44149079  0.00000092
 310  26918073.44149986  26918073.44150078  0.00000092
 311  26918073.44150969  26918073.44151058  0.00000088
 312  26918073.44151950  26918073.44152043  0.00000094
 313  26918073.44153190  26918073.44153285  0.00000095
 314  26918073.44154299  26918073.44154390  0.00000091
 315  26918073.44155382  26918073.44155471  0.00000089
 316  26918073.44156425  26918073.44156511  0.00000086
 317  26918073.44157435  26918073.44157524  0.00000089
 318  26918073.44158401  26918073.44158497  0.00000096
 319  26918073.44159571  26918073.44159667  0.00000095
 320  26918073.44160643  26918073.44160734  0.00000091
 321  26918073.44161715  26918073.44161795  0.00000080
 322  26918073.44162735  26918073.44162828  0.00000093
 323  26918073.44163739  26918073.44163819  0.00000080
 324  26918073.44164724  26918073.44164818  0.00000094
 325  26918073.44165713  26918073.44165802  0.00000088
 326  26918073.44166965  26918073.44167063  0.00000098
 327  26918073.44168046  26918073.44168136  0.00000090
 328  26918073.44169101  26918073.44169208  0.00000106
 329  26918073.44170106  26918073.44170187  0.00000081
 330  26918073.44171080  26918073.44171171  0.00000091
 331  26918073.44172081  26918073.44172170  0.00000088
 332  26918073.44173317  26918073.44173409  0.00000093
 333  26918073.44174367  26918073.44174461  0.00000094
 334  26918073.44175382  26918073.44175462  0.00000081
 335  26918073.44176373  26918073.44176465  0.00000092
 336  26918073.44177632  26918073.44177742  0.00000110
 337  26918073.44178703  26918073.44178797  0.00000094
 338  26918073.44179714  26918073.44179793  0.00000079
 339  26918073.44180702  26918073.44180783  0.00000081
 340  26918073.44181661  26918073.44181751  0.00000090
 341  26918073.44182653  26918073.44182742  0.00000088
 342  26918073.44183713  26918073.44183802  0.00000089
 343  26918073.44184712  26918073.44184800  0.00000088
 344  26918073.44185722  26918073.44185815  0.00000093
 345  26918073.44186970  26918073.44187067  0.00000097
 346  26918073.44188038  26918073.44188131  0.00000092
 347  26918073.44189078  26918073.44189169  0.00000091
 348  26918073.44190086  26918073.44190175  0.00000089
 349  26918073.44191076  26918073.44191167  0.00000091
 350  26918073.44192303  26918073.44192404  0.00000101
 351  26918073.44193363  26918073.44193454  0.00000091
 352  26918073.44194371  26918073.44194467  0.00000097
 353  26918073.44195387  26918073.44195482  0.00000095
 354  26918073.44196639  26918073.44196726  0.00000086
 355  26918073.44197690  26918073.44197769  0.00000079
 356  26918073.44198699  26918073.44198791  0.00000092
 357  26918073.44199707  26918073.44199789  0.00000081
 358  26918073.44201012  26918073.44201111  0.00000099
 359  26918073.44202005  26918073.44202098  0.00000092
 360  26918073.44202990  26918073.44203087  0.00000097
 361  26918073.44203976  26918073.44204062  0.00000086
 362  26918073.44204972  26918073.44205062  0.00000090
 363  26918073.44206066  26918073.44206144  0.00000079
 364  26918073.44207319  26918073.44207400  0.00000081
 365  26918073.44208561  26918073.44208645  0.00000085
 366  26918073.44209875  26918073.44209967  0.00000092
 367  26918073.44210989  26918073.44211081  0.00000092
 368  26918073.44211975  26918073.44212071  0.00000096
 369  26918073.44213357  26918073.44213450  0.00000093
 370  26918073.44214446  26918073.44214536  0.00000090
 371  26918073.44215510  26918073.44215598  0.00000088
 372  26918073.44216486  26918073.44216575  0.00000089
 373  26918073.44217470  26918073.44217556  0.00000086
 374  26918073.44218482  26918073.44218572  0.00000090
 375  26918073.44219483  26918073.44219573  0.00000090
 376  26918073.44220725  26918073.44220827  0.00000101
 377  26918073.44221823  26918073.44221913  0.00000090
 378  26918073.44222886  26918073.44222975  0.00000089
 379  26918073.44223914  26918073.44224004  0.00000089
 380  26918073.44224907  26918073.44224994  0.00000088
 381  26918073.44225899  26918073.44225995  0.00000096
 382  26918073.44226896  26918073.44226991  0.00000095
 383  26918073.44227906  26918073.44227996  0.00000091
 384  26918073.44228899  26918073.44228997  0.00000097
 385  26918073.44229923  26918073.44230011  0.00000088
 386  26918073.44231173  26918073.44231280  0.00000107
 387  26918073.44232275  26918073.44232364  0.00000089
 388  26918073.44233299  26918073.44233394  0.00000095
 389  26918073.44234304  26918073.44234394  0.00000090
 390  26918073.44235297  26918073.44235380  0.00000083
 391  26918073.44236333  26918073.44236414  0.00000081
 392  26918073.44237573  26918073.44237674  0.00000101
 393  26918073.44238635  26918073.44238717  0.00000082
 394  26918073.44239684  26918073.44239764  0.00000080
 395  26918073.44240684  26918073.44241228  0.00000544
 396  26918073.44242147  26918073.44242247  0.00000100
 397  26918073.44243403  26918073.44243506  0.00000103
 398  26918073.44244478  26918073.44244563  0.00000085
 399  26918073.44245487  26918073.44245583  0.00000095
 400  26918073.44246510  26918073.44246591  0.00000080
 401  26918073.44247504  26918073.44247584  0.00000080
 402  26918073.44248475  26918073.44248559  0.00000085
 403  26918073.44249478  26918073.44249570  0.00000092
 404  26918073.44250483  26918073.44250564  0.00000081
 405  26918073.44251736  26918073.44251831  0.00000095
 406  26918073.44252845  26918073.44252929  0.00000085
 407  26918073.44253931  26918073.44254027  0.00000095
 408  26918073.44254943  26918073.44255027  0.00000083
 409  26918073.44255937  26918073.44256020  0.00000082
 410  26918073.44257197  26918073.44257297  0.00000099
 411  26918073.44258275  26918073.44258375  0.00000100
 412  26918073.44259303  26918073.44259394  0.00000091
 413  26918073.44260298  26918073.44260380  0.00000082
 414  26918073.44261528  26918073.44261610  0.00000082
 415  26918073.44262599  26918073.44262695  0.00000095
 416  26918073.44263608  26918073.44263694  0.00000087
 417  26918073.44264605  26918073.44264682  0.00000077
 418  26918073.44265834  26918073.44265926  0.00000092
 419  26918073.44266912  26918073.44266997  0.00000086
 420  26918073.44267912  26918073.44267992  0.00000080
 421  26918073.44268913  26918073.44268999  0.00000086
 422  26918073.44269906  26918073.44269986  0.00000079
 423  26918073.44270885  26918073.44270976  0.00000091
 424  26918073.44271877  26918073.44271969  0.00000092
 425  26918073.44272959  26918073.44273046  0.00000087
 426  26918073.44273960  26918073.44274051  0.00000091
 427  26918073.44274955  26918073.44275042  0.00000086
 428  26918073.44276176  26918073.44276272  0.00000096
 429  26918073.44277261  26918073.44277347  0.00000086
 430  26918073.44278285  26918073.44278375  0.00000091
 431  26918073.44279291  26918073.44279371  0.00000080
 432  26918073.44280290  26918073.44280379  0.00000088
 433  26918073.44281536  26918073.44281623  0.00000087
 434  26918073.44282638  26918073.44282724  0.00000086
 435  26918073.44283677  26918073.44283759  0.00000082
 436  26918073.44284672  26918073.44284747  0.00000075
 437  26918073.44285884  26918073.44285979  0.00000096
 438  26918073.44286955  26918073.44287032  0.00000077
 439  26918073.44287952  26918073.44288041  0.00000089
 440  26918073.44288942  26918073.44289023  0.00000081
 441  26918073.44290163  26918073.44290255  0.00000092
 442  26918073.44291262  26918073.44291343  0.00000080
 443  26918073.44292303  26918073.44292395  0.00000092
 444  26918073.44293285  26918073.44293377  0.00000092
 445  26918073.44294479  26918073.44294574  0.00000095
 446  26918073.44295537  26918073.44295618  0.00000080
 447  26918073.44296529  26918073.44296609  0.00000080
 448  26918073.44297523  26918073.44297609  0.00000087
 449  26918073.44298563  26918073.44298645  0.00000083
 450  26918073.44299562  26918073.44299635  0.00000074
 451  26918073.44300961  26918073.44301058  0.00000096
 452  26918073.44301994  26918073.44302081  0.00000086
 453  26918073.44302991  26918073.44303083  0.00000092
 454  26918073.44303977  26918073.44304051  0.00000074
 455  26918073.44304955  26918073.44305052  0.00000097
 456  26918073.44305954  26918073.44306040  0.00000086
 457  26918073.44306942  26918073.44307033  0.00000092
 458  26918073.44307937  26918073.44308023  0.00000086
 459  26918073.44309190  26918073.44309292  0.00000102
 460  26918073.44310209  26918073.44310296  0.00000086
 461  26918073.44311205  26918073.44311283  0.00000078
 462  26918073.44312492  26918073.44312578  0.00000086
 463  26918073.44313572  26918073.44313663  0.00000091
 464  26918073.44314625  26918073.44314712  0.00000087
 465  26918073.44315667  26918073.44315742  0.00000075
 466  26918073.44316633  26918073.44316725  0.00000091
 467  26918073.44317797  26918073.44317878  0.00000080
 468  26918073.44318888  26918073.44318976  0.00000088
 469  26918073.44319906  26918073.44319987  0.00000081
 470  26918073.44320894  26918073.44320978  0.00000084
 471  26918073.44322197  26918073.44322286  0.00000089
 472  26918073.44323239  26918073.44323328  0.00000089
 473  26918073.44324259  26918073.44324353  0.00000094
 474  26918073.44325273  26918073.44325348  0.00000075
 475  26918073.44326526  26918073.44326620  0.00000095
 476  26918073.44327579  26918073.44327670  0.00000091
 477  26918073.44328605  26918073.44328697  0.00000092
 478  26918073.44329610  26918073.44329697  0.00000086
 479  26918073.44330611  26918073.44330692  0.00000081
 480  26918073.44331598  26918073.44331690  0.00000092
 481  26918073.44332866  26918073.44332945  0.00000079
 482  26918073.44333922  26918073.44334001  0.00000080
 483  26918073.44334952  26918073.44335030  0.00000077
 484  26918073.44335940  26918073.44336025  0.00000085
 485  26918073.44337206  26918073.44337289  0.00000083
 486  26918073.44338227  26918073.44338314  0.00000086
 487  26918073.44339268  26918073.44339354  0.00000086
 488  26918073.44340258  26918073.44340344  0.00000086
 489  26918073.44341424  26918073.44341509  0.00000085
 490  26918073.44342500  26918073.44342574  0.00000074
 491  26918073.44343557  26918073.44343632  0.00000075
 492  26918073.44344554  26918073.44344636  0.00000082
 493  26918073.44345547  26918073.44345621  0.00000075
 494  26918073.44346832  26918073.44346911  0.00000079
 495  26918073.44347870  26918073.44347955  0.00000085
 496  26918073.44348884  26918073.44348970  0.00000086
 497  26918073.44349891  26918073.44349973  0.00000082
 498  26918073.44351166  26918073.44351243  0.00000077
 499  26918073.44352213  26918073.44352305  0.00000092
